Aprwb	14	15	16	17	18	19	20	21	22	23	00	01	02	03	04	05	06	07
01 w	*****	*****	*****	*****	*****	5.4	2.5	2.0	1.7	1.6	1.6	1.6	1.6	1.6	47.5	*****	*****	*****
01 b	*****	*****	*****	*****	*****	1.4	0.7	0.6	0.5	0.5	0.5	0.5	0.5	0.5	7.9	*****	*****	*****
02 w	*****	*****	*****	*****	*****	8.8	4.5	3.5	2.6	1.9	1.6	1.6	1.6	1.6	65.3	*****	*****	*****
02 b	*****	*****	*****	*****	*****	2.0	1.2	1.0	0.8	0.6	0.5	0.5	0.5	0.5	10.3	*****	*****	*****
03 w	*****	*****	*****	*****	*****	14.4	8.5	6.5	4.8	3.3	2.1	1.6	1.6	1.6	90.4	*****	*****	*****
03 b	*****	*****	*****	*****	*****	2.8	1.9	1.6	1.3	0.9	0.6	0.5	0.5	0.5	13.5	*****	*****	*****
04 w	*****	*****	*****	*****	*****	23.1	15.9	12.6	9.4	6.7	4.2	2.3	1.6	1.6	125.9	*****	*****	*****
04 b	*****	*****	*****	*****	*****	4.1	2.9	2.7	2.3	1.8	1.2	0.7	0.5	0.5	17.8	*****	*****	*****
05 w	*****	*****	*****	*****	*****	35.8	28.3	23.9	18.4	13.2	8.8	4.8	2.0	1.6	176.3	*****	*****	*****
05 b	*****	*****	*****	*****	*****	6.1	4.6	4.4	4.0	3.2	2.3	1.4	0.7	0.5	23.7	*****	*****	*****
06 w	*****	*****	*****	*****	*****	51.5	43.3	39.3	32.0	23.7	16.3	9.7	4.0	1.6	248.1	*****	*****	*****
06 b	*****	*****	*****	*****	*****	8.6	6.9	6.6	6.3	5.4	4.1	2.6	1.2	0.5	31.9	*****	*****	*****
07 w	*****	*****	*****	*****	*****	65.6	57.7	54.7	47.1	36.5	25.9	16.5	7.7	2.1	350.8	*****	*****	*****
07 b	*****	*****	*****	*****	*****	10.9	9.2	8.9	8.6	7.8	6.2	4.2	2.1	0.7	43.3	*****	*****	*****
08 w	*****	*****	*****	*****	*****	72.2	66.6	67.2	61.4	50.4	37.3	24.9	13.1	3.5	497.8	*****	*****	*****
08 b	*****	*****	*****	*****	*****	13.2	11.2	11.3	11.2	10.4	8.7	6.3	3.5	1.1	59.2	*****	*****	*****
09 w	*****	*****	*****	*****	*****	74.3	71.2	77.4	75.5	66.0	51.6	36.3	20.9	6.7	708.6	*****	*****	*****
09 b	*****	*****	*****	*****	*****	15.4	13.8	14.3	14.3	13.6	11.8	8.9	5.4	2.0	81.4	*****	*****	*****
10 w	*****	*****	*****	*****	*****	73.5	71.0	83.5	87.6	81.8	68.2	50.6	31.4	12.0	*****	*****	*****	*****
10 b	*****	*****	*****	*****	*****	16.4	15.8	17.5	18.0	17.5	15.6	12.4	8.1	3.4	112.8	*****	*****	*****
11 w	*****	*****	*****	*****	*****	66.9	63.4	80.8	91.5	92.0	82.1	64.8	43.2	19.4	*****	*****	*****	*****
11 b	*****	*****	*****	*****	*****	15.1	15.4	18.8	20.5	20.7	19.1	15.8	11.0	5.3	157.1	*****	*****	*****
12 w	*****	*****	*****	*****	*****	52.4	48.6	72.8	91.0	99.8	96.8	80.8	56.6	28.6	*****	*****	*****	*****
12 b	*****	*****	*****	*****	*****	11.2	12.5	18.1	21.9	23.7	23.2	19.9	14.4	7.7	219.6	*****	*****	*****
13 w	*****	*****	*****	*****	*****	40.8	14.3	32.9	48.4	57.6	59.4	53.5	41.1	24.3	*****	*****	*****	*****
13 b	*****	*****	*****	*****	*****	7.2	4.0	8.6	12.2	14.3	14.7	13.4	10.5	6.5	306.6	*****	*****	*****
14 w	*****	*****	*****	*****	*****	50.4	1.8	8.2	20.1	29.8	34.9	34.7	29.4	20.2	*****	*****	*****	*****
14 b	*****	*****	*****	*****	*****	8.3	0.6	2.4	5.3	7.7	8.9	8.8	7.6	5.4	428.4	*****	*****	*****
15 w	*****	*****	*****	*****	*****	63.3	1.6	1.6	4.7	11.7	17.6	20.4	19.6	15.9	*****	*****	*****	*****
15 b	*****	*****	*****	*****	*****	10.0	0.5	0.5	1.5	3.2	4.7	5.3	5.1	4.2	598.0	*****	*****	*****
16 w	*****	*****	*****	*****	*****	79.9	1.6	1.6	1.6	3.1	7.4	11.1	12.6	12.6	*****	*****	*****	*****
16 b	*****	*****	*****	*****	*****	12.1	0.5	0.5	0.5	1.0	2.1	3.0	3.4	3.4	833.8	*****	*****	*****
17 w	*****	*****	*****	*****	*****	101.1	1.6	1.6	1.6	1.6	2.5	5.4	7.9	10.2	*****	*****	*****	*****
17 b	*****	*****	*****	*****	*****	14.8	0.5	0.5	0.5	0.5	0.8	1.6	2.2	2.7	*****	*****	*****	*****
18 w	*****	*****	*****	*****	*****	128.3	1.6	1.6	1.6	1.6	1.6	2.5	4.6	8.3	*****	*****	*****	*****
18 b	*****	*****	*****	*****	*****	18.1	0.5	0.5	0.5	0.5	0.5	0.8	1.3	2.2	*****	*****	*****	*****
19 w	*****	*****	*****	*****	*****	163.4	1.6	1.6	1.6	1.6	1.6	1.6	2.6	6.9	*****	*****	*****	*****
19 b	*****	*****	*****	*****	*****	22.2	0.5	0.5	0.5	0.5	0.5	0.5	0.8	1.8	*****	*****	*****	*****
20 w	*****	*****	*****	*****	*****	208.5	1.6	1.6	1.6	1.6	1.6	1.6	1.8	6.5	*****	*****	*****	*****
20 b	*****	*****	*****	*****	*****	27.4	0.5	0.5	0.5	0.5	0.5	0.5	0.6	1.6	*****	*****	*****	*****
