Zeit	Azimut	Hšhe	Zeit	Azimut	Hšhe
h:m	gd.dez	gd.dz	h:m	gd.dez	gd.dz
0:00	14,1638	-59,1844	12:30	195,6282	23,2870
0:30	27,3486	-57,3906	13:00	203,1547	21,6207
1:00	39,1540	-54,6209	13:30	210,3985	19,3578
1:30	49,4695	-51,0966	14:00	217,3183	16,5581
2:00	58,4424	-47,0205	14:30	223,9018	13,2866
2:30	66,3168	-42,5559	15:00	230,1619	9,6083
3:00	73,3408	-37,8275	15:30	236,1301	5,5857
3:30	79,7306	-32,9294	16:00	241,8512	1,2767
4:00	85,6640	-27,9340	16:30	247,3795	-3,2655
4:30	91,2853	-22,8998	17:00	252,7764	-7,9924
5:00	96,7126	-17,8759	17:30	258,1096	-12,8588
5:30	102,0446	-12,9070	18:00	263,4546	-17,8217
6:00	107,3665	-8,0354	18:30	268,8967	-22,8384
6:30	112,7533	-3,3040	19:00	274,5347	-27,8640
7:00	118,2727	1,2423	19:30	280,4870	-32,8488
7:30	123,9859	5,5550	20:00	286,8976	-37,7339
8:00	129,9470	9,5812	20:30	293,9436	-42,4460
8:30	136,2008	13,2630	21:00	301,8393	-46,8905
9:00	142,7788	16,5382	21:30	310,8287	-50,9421
9:30	149,6938	19,3416	22:00	321,1489	-54,4374
10:00	156,9338	21,6083	22:30	332,9363	-57,1748
10:30	164,4575	23,2786	23:00	346,0708	-58,9360
11:00	172,1927	24,3034	23:30	0,0389	-59,5406
11:30	180,0416	24,6502	0:00	14,0007	-58,9178
12:00	187,8911	24,3076			
